Unnamed: 0,street_name,street_alias
588,giap nhat,
590,quoc lo 20,
592,van giang,
596,inh bo linh,
598,chua boc,
599,nguyen co thach,
600,uy tan,
601,ham nghi,
603,lac long quan t,
606,ql 18,
607,le quoc hung,
610,chinh huu,
612,n6,
613,lac long quan,
614,lang ha,
616,xo viet nghe tinh,
621,kim giang,
623,tay,
624,vu huu a,
627,phuong vinh phuc,
629,lap tri,
630,quoc lo 18,
631,quang 2,
632,nguyen tao,
634,ao tong nguyen,
636,10,
638,nguyen huu canh,
640,tra ly,
641,thi sach,
642,thuan giao 25,
643,au co,
649,vanh ai 2,
654,t795,
658,nguyen tat thanh,
660,nguyen g,
662,thinh liet,
663,nguyen van hoa,
664,nguyen tri phuong,
665,thanh to,
668,chi,
670,sai ong,
674,t 5,
682,ong thanh,
683,tinh lo 7,
688,my inh,
689,truong sa,
690,quang ham,
693,vuon om,
696,t 782,
698,sao,
700,trang trinh,
702,ly thai to,
705,suoi cai,
708,cho lon,
709,an kim 2,
713,van mieu,
714,tc,
717,hung,
718,ton quang phiet,
722,tang thap,
723,4,
725,quoc lo 1,
726,tang nhon phu a,
733,trinh van bo,
735,ham chinh,
738,chu van an,
740,quoc lo 27,
741,chien thang,
746,lo uc,
747,n tay,
749,lien,
750,moc bai,
751,5 ky khoi nghia,
753,vo thi 6 tan,
754,ql50,
757,quan hoa,
763,nguyen van bua,
768,truong van a,
769,tan liem,
773,loc uc,
774,thanh nhan,
777,266,
780,hoang cau,
781,global city,
783,nguyen thi minh khai,
787,thanh xuan 13,
795,tan my,
796,be tong,
798,ien bien phu p17,
799,uyen hung,
805,co linh,
807,nguyen van nghi,
811,lai uyen,
812,cau chay,
813,nguyen van khoi,
814,cao toc,
816,8 anh,
821,vo oanh,
824,le ai hanh,
826,an n 43,
827,pasteur,
828,ho xuan huong,
832,vo kien,
841,thoi hoa,
844,hoang nhu tiep,
848,huynh thuc khang,
850,cao toc hoa binh moc chau,
853,me tri ha,
854,binh thanh,
855,bau cat,
856,thuong thanh,
860,yen nghia ha ong,
861,oto,
862,ql21a,
864,le van chi,
865,ao tan,
867,nguyen khang cau giay,
869,tan thanh,
872,44a,
873,205,
874,ho tay,
880,huynh van tri,
881,tung lam 1,
883,thanh tri,
887,ong phu-binh phuoc,
888,quoc lo 13c,
891,tran cung,
894,mat tien,
895,ql 27,
899,ql27,
900,minh,
903,hoang lien,
905,nguyen ai quoc,
907,334,
908,xa,
909,ql3,
911,yet kieu,
913,phuong,
915,14,
916,t759,
917,lien huyen,
918,ham cuong,
920,quoc lo 21b,
921,ql 3,
924,viet hung,
928,vu quynh,
932,cao xanh lo,
933,hang kenh,
934,huyen rose,
937,xa h01,
938,phuong nghia tan,
939,nguyen canh i,
950,tran xuan an,
951,yen hung,
955,lien phuong,
956,vo chi cong,
959,2 3,
962,le trong tan,
963,87,
964,quoc huong,
965,lt,
966,vong thi,
967,ai tu,
969,827 nguyen uy trinh,
971,pham tuan tai,
975,van hanh,
977,hoang bich n,
978,10m5,
980,vo thi 6,
983,bia 3,
984,hong ha,
989,ai linh,
990,vinata khuat uy tien,
995,khanh binh 13,
