Unnamed: 0,individual,alias
7,2,ngủ
9,1,ngu
31,3,chỗ ngủ
75,4,cho ngu
100,8,cho ngủ
115,5,chỗ ngu
168,16,phòng ngủ
179,11,phong ngu
695,75,phòng ngu
756,6,phong ngủ
1005,7,p ngủ
2420,40,p ngu
2880,9,
3079,10,
4716,12,
8700,33,
9164,17,
9381,22,
