Unnamed: 0,individual,alias
7,1,gác
44,2,gac
210,3,gác lửng
292,100,gac lung
523,20,gác xép
2366,5,gac xep
2942,12,có mấy gác lửng
4385,8,co may gac lung
5084,6,bao nhiêu gác lửng
6181,4,bao nhieu gac lung
7441,11,có mấy gác xép
9493,15,co may gac xep
9783,49,bao nhiêu gác xép
