Unnamed: 0,individual,alias
9,d,hướng
14,tb,huong
20,tn,phía
23,db,phia
26,n,hướng đông
30,b,huong dong
40,dn,hướng Đông
47,t,huong Dong
2681,kxd,hướng tây
