Unnamed: 0,individual,alias
955,"lucasta villa khang dien, compound",
956,"mega ruby khang dien, compound, mega ruby",
958,"the venica, don lap, the venica khang dien",
965,"jamila khang dien, jamila",
973,thanh xuan complex,
974,park riverside quan,
982,ngoc thuy,
987,tan tay do,
988,j106,
991,anlax city flc sam son,
992,flc sam son,
996,bau cat,
1000,"1, dat xanh premium, the peak garden",
1014,phuoc my,
1022,sky forest manh,
1023,thinh vuong,
1024,"rose town, rose town ngoc hoi",
1025,"my dinh pearl, pearl 1",
1028,diem chau land,
1030,kingston residence phu nhuan,
1033,"td2 thuy van, thuy van",
1034,qn ninh,
1040,ben tre,
1043,fpt da nang,
1044,an phu an khanh,
1046,one world regency,
1053,gia hoa,
1057,carillon 7,
1060,me linh,
1062,ct1b,
1063,"cu xa duong, sonadzi",
1066,vinh diem trung,
1068,thong nhat,
1071,"downtown luong son, nam son invest",
1072,ccmn,
1076,bau xeo,
1081,"vinhomes ocean park the empire, vinhomes ocean park 2",
1083,"vinhomes riverside long bien, lap",
1084,vinpearl,
1085,dong,
1088,"phu my hung, hung gia hung phuoc",
1092,"vinpearl luxury nha trang, vinpearl luxury, luxury, vinpearl",
1094,"universe complex, shophouse",
1095,"sai gon garden, saigon garden riverside villa, vinhome grand park",
1096,"golden bay 2, nha trang, golden bay, cam ranh, golden bay 602",
1097,long thanh,
1102,"the platinum, sun marina town ha long",
1105,"udic westlake, ciputra",
1106,marina square,
1109,sunshine city,
1111,hung thang,
1113,"song lap ha do charm villas, song lap",
1116,"vinhomes riverside, hoa lan",
1118,sun world,
1119,eurowindow river park,
1124,ha do centrosa garden,
1126,vinhomes green bay me tri,
1127,waterpoint,
1128,oriental plaza,
1132,cu chi alo,
1135,pho dong prosper,
1139,city land park hills,
1140,vinhomes gardenia,
1141,ciputra,
1147,"the link ciputra, ciputra, the link 345",
1152,"uong bi new city, new city",
1153,do centrosa,
1155,phu ho,
1157,lavita charm,
1158,"lexington residence, lexington",
1166,wilton,
1168,"thanh tham phu my hung, phu my hung",
1169,cat lai,
1170,"cat lai, invesco",
1171,hateco laroma,
1175,"le meridien, lagoon",
1184,"my hung, phu my hung",
1189,vinh,
1192,samsora van phuc ha dong,
1193,dai thanh,
1195,"celadon city, gamuda land, shophouse diamond",
1197,go vap,
1201,wyndham thanh thuy,
1203,dat,
1212,"gia phat hl2, tri thuc cao",
1227,"venezia beach, venezia beach ho tram -, - vung tau, twog architecture",
1228,3,
1230,thach ban,
1232,rosa luxury villas,
1241,nhuan trach,
1246,ehome 4,
1251,him lam cho lon,
1252,ha do quan,
1254,ct7g,
1257,the western capital quan,
1258,"sun onsen quang hanh, sun beauty onsen thanh hoa",
1260,xuan mai reverside,
1264,"phu my hung, the crescent",
1277,nam long,
1282,xom lo,
1291,ct1c,
1297,sophia center,
1299,linh dam,
1300,minni,
1301,rosita khang dien q,
1306,"vinhomes grand park quan, long thanh my thu duc",
1313,xi grand court,
1315,mizuki park,
1316,nam a garden,
1321,"anh duong bds hai phong, mall, anhduong bds, thuy nguyen mall",
1323,"seaside phu cuong, seaside house",
1325,tang loc than tai,
1326,res green,
1336,vinperland,
1337,"aquacity valencia, thinh novaland",
1340,"ho tram, coastar estate ho tram",
1342,"phu my hung, q7 boulevard",
1346,"sun riverside village sam son, the harbor, the river",
1354,ch celadon city khu emerald,
1356,xa la,
1361,my dinh pearl,
1366,phu hoang anh,
1367,"sky 9, thu thiem garden, merita khang dien",
1370,van phuc city,
1373,oasis city,
1378,ngoc liep,
1381,nha trang,
1382,vinhomes skylake,
1383,my dinh 1,
1385,"tam ky ho sen cau rao 2, tam ky",
1386,duong noi,
1390,trung tren dia cac,
1392,"van phuc city, thang long home - hung phu, thang long home hung phu to ngoc van",
1393,"van phuc city, thang long home hung phu to ngoc van, thang long home - hung",
1399,"gia phu, gia phu binh chanh",
1404,becamex,
1406,opal,
1407,hotline ngay,
1408,terra royal,
1409,the golden armor,
