Unnamed: 0,individual,alias
3,1,lửng
232,3,lung
353,4,tầng lửng
970,2,tang lung
1858,5,gác lửng
3246,6,gac lung
4385,24,có mấy gác lửng
7441,11,co may gac lung
8915,8,bao nhiêu gác lửng
